gene,truth_class,PP.H4,PP.H3,twas_z,twas_p,twas_significant,mr_beta,mr_p,n_credible
GENE00,gwas_only,0.09090403780791406,0.0012200732624913122,1.1039185754303762,0.26962846027814613,False,-0.489797771740231,0.6547290245241297,12
GENE01,null,0.0002630218641151966,2.8396880116505458e-06,0.7336671803936008,0.46315160565250535,False,-0.46946270321509725,0.7812044027714548,12
GENE02,eqtl_only,0.09562603879667578,0.0016056858227420827,0.42312798466516627,0.672201885695369,False,0.004979606055312583,0.7346164727878246,12
GENE03,null,0.0015447339023849458,1.5881719373347213e-05,-0.6441820576203381,0.519457384348859,False,0.13160264820473316,0.5719967665869226,12
GENE04,null,0.00037498381561942905,4.07222305274659e-06,-1.689359474777478,0.0911505621646049,False,-0.045341664494750855,0.8560697378053067,12
GENE05,colocalized,1.0,0.0,25.236572171169374,1.5903847133893268e-140,True,0.3606600897207386,1.6609779667695904e-62,12
GENE06,null,0.0011853311051392259,1.729860317274542e-05,-0.8021048026402591,0.42249233711168543,False,-0.16755838028256273,0.4921631019926108,12
GENE07,colocalized,1.0,0.0,29.231888268882933,7.630346097215758e-188,True,0.3678123127409883,2.2153169235965214e-81,12
