true_effect,n_causal_in_dgp,n_instruments,beta_ivw,se_ivw,ci_lower,ci_upper,p_value,sign_correct,significant,abs_bias,within_ci
-0.1,18,16,-0.09814709353269567,0.003773449995515078,-0.10554305552390522,-0.09075113154148612,3.825681422418928e-149,True,True,0.0018529064673043355,True
-0.3,18,16,-0.2985781404794446,0.003773449995515078,-0.30597410247065415,-0.291182178488235,0.0,True,True,0.0014218595205554019,True
-0.6,18,16,-0.5992247108995681,0.003773449995515078,-0.6066206728907776,-0.5918287489083586,0.0,True,True,0.0007752891004318974,True
