true_effect,seed,n_snps_simulated,n_causal_in_dgp,n_instruments,beta_ivw,se_ivw,ci_lower,ci_upper,p_value,cochrans_q,p_het,sign_correct,significant,abs_bias,within_ci
0.1,42,120,18,16,0.10228395341405334,0.003773449995515078,0.09488799142284379,0.1096799154052629,8.317663432908671e-162,580.9823128756555,0.0,True,True,0.0022839534140533385,True
0.35,42,120,18,16,0.35282276209748953,0.003773449995515078,0.34542680010627996,0.3602187240886991,0.0,599.4720545947976,0.0,True,True,0.0028227620974895506,True
0.6,42,120,18,16,0.6033615707809257,0.003773449995515078,0.5959656087897162,0.6107575327721352,0.0,623.5168283609046,0.0,True,True,0.0033615707809256934,True
